ID,STATION
394,KINKEMPOIS-RECEPTION
395,KINKEMPOIS-RELAIS
396,KNOKKE
397,KOKSIJDE
398,KOMEN
399,KONTICH
400,KONTICH-LINT
401,KORTEMARK
402,KORTENBERG
403,KORTENBERG-GOEDEREN
404,KORTRIJK
405,KORTRIJK-GOEDEREN
406,KORTRIJK-T.O.P.
407,KUREGEM-DOODSPOOR
408,KWATRECHT
409,LA HULPE
410,LA LOUVIERE-CENTRE
411,LA LOUVIERE-GARE INDUSTRIELLE
412,LA LOUVIERE-SUD
413,LA ROCHE(BRABANT)
414,LABUISSIERE
415,LANDEGEM
416,LANDELIES
417,LANDEN
418,LANDSKOUTER
419,LANGDORP
420,LAUWE
421,LE CAMPINAIRE
422,LE COUCOU-BASE LGV
423,LEBBEKE
424,LEDE
425,LEIGNON
426,LEMAN
427,LEMBEEK
428,LENS
429,LEOPOLDSBURG
430,LESSINES
431,LEUVEN
432,LEUVEN-BUNDEL F
433,LEUVEN-BUNDEL M
434,LEUVEN-BUNDEL P
435,LEUVEN-BUNDEL Q
436,LEUZE
437,LEVAL
438,LIBRAMONT
439,LICHTERVELDE
440,LIEDEKERKE
441,LIEGE-CARRE
442,LIEGE-GUILLEMINS
443,LIEGE-GUILLEMINS-FAISCEAU
444,LIEGE-JONFOSSE
445,LIEGE-PALAIS
446,LIEGE-SAINT-LAMBERT
447,LIER
448,LIERDE
449,LIERS
450,LIERS-FAISCEAU
451,LIGNY
452,LILLE-EUROPE
453,LILLOIS
454,LIMAL
455,LINKEBEEK
456,LISSEWEGE
457,LOBBES
458,LOBBES-GARAGE
459,LODELINSART
460,LOKEREN
461,LOKEREN-OOST
462,LOMMEL
463,LONDERZEEL
464,LONZEE
465,LOT
466,LOUVAIN-LA-NEUVE
467,LOUVAIN-LA-NEUVE-UNIVERSITE
468,LUCHTBAL-WIJKBUNDEL
469,LUSTIN
470,LUTTRE
471,LUXEMBOURG
472,MACHELEN
473,MAFFLE
474,MALDEREN
475,MANAGE
476,MARBEHAN
477,MARCHE-EN-FAMENNE
478,MARCHE-LES-DAMES
479,MARCHE-LES-DAMES-MARCHANDISES
480,MARCHE-LEZ-ECAUSSINNES
481,MARCHIENNE-AU-PONT
482,MARCHIENNE-ZONE
483,MARCINELLE
484,MARIA-AALTER
485,MARIEMBOURG
486,MARLOIE
487,MASNUY-SAINT-PIERRE
488,MAUBRAY
489,MAZY
490,MECHELEN
491,MECHELEN-C.W.
492,MECHELEN-NEKKERSPOEL
493,MEISER
494,MELKOUWEN
495,MELLE
496,MELLE-T.W.
497,MELREUX-HOTTON
498,MELSELE
499,MENEN
500,MERCHTEM
501,MERELBEKE
502,MERELBEKE-CENTRAAL
503,MERELBEKE-SAS T.W.
504,MERELBEKE-T.W.
505,MERODE
506,MERY
507,MESSANCY
508,MEVERGNIES-ATTRE
509,MILMORT
510,MOENSBERG
511,MOESKROEN
512,MOL
513,MOLLEM
514,MOMALLE
515,MONCEAU-CHARGEMENT GASOIL
516,MONCEAU-FORMATION
517,MONCEAU-RECEPTION
518,MONS
519,MONS-AVIATION
520,MONT-SAINT-GUIBERT
521,MONTZEN
522,MONTZEN-EST
523,MONTZEN-INSTALLATION GASOIL
524,MOORTSELE
525,MORLANWELZ
526,MORTSEL
527,MORTSEL-DEURNESTEENWEG
528,MORTSEL-LIERSESTEENWEG
529,MORTSEL-OUDE GOD
530,MOUSTIER
531,MOUSTIER-GARAGE
532,MOUTERIJ
533,MUIZEN
534,MUIZEN-GOEDEREN
535,MUNKZWALM
536,NAMECHE
537,NAMUR
538,NAMUR-HERBATTE
539,NANINNE
540,NATOYE
541,NEERPELT
542,NEERWINDEN
543,NESSONVAUX
544,NEUFCHATEAU
545,NEUFVILLES
546,NEUFVILLES-GARAGE
547,NIEL
548,NIEUWKERKEN-WAAS
549,NIJLEN
550,NIMY
551,NINOVE
552,NINOVE-WIJKSPOOR
553,NIVELLES
554,NOORDERKEMPEN
555,NOSSEGEM
556,OBAIX-BUZET
557,OBOURG
558,OBOURG-MARCHANDISES
559,OKEGEM
560,OLEN
561,OLEN-SAS
562,OLNE
563,OOSTENDE
564,OOSTENDE-BUNDEL A
565,OOSTENDE-BUNDEL B
566,OOSTENDE-PERRON T.O.P.
