ID,STATION,REGION
422,La Hulpe,Wallonie
423,La Louviere-Centre,Wallonie
424,La Louviere-Gare Industrielle,Unknown region
425,La Louviere-Sud,Wallonie
426,La Roche(Brabant),Wallonie
427,Labuissiere,Wallonie
428,Landegem,Vlaanderen
429,Landelies,Wallonie
430,Landen,Unknown region
431,Landskouter,Vlaanderen
432,Langdorp,Vlaanderen
433,Lauwe,Unknown region
434,Le Campinaire,Wallonie
435,Le Coucou-Base Lgv,Wallonie
436,Lebbeke,Vlaanderen
437,Lede,Vlaanderen
438,Leignon,Wallonie
439,Lelystad Centrum,Unknown region
440,Leman,Unknown region
441,Lembeek,Vlaanderen
442,Lens,Unknown region
443,Leopoldsburg,Vlaanderen
444,Lessines,Wallonie
445,Leuven,Vlaanderen
446,Leuven-Bundel F,Unknown region
447,Leuven-Bundel M,Unknown region
448,Leuven-Bundel P,Unknown region
449,Leuven-Bundel Q,Unknown region
450,Leuze,Unknown region
451,Leval,Unknown region
452,Libramont,Wallonie
453,Lichtervelde,Vlaanderen
454,Liedekerke,Vlaanderen
455,Liege-Carre,Wallonie
456,Liege-Guillemins,Wallonie
457,Liege-Guillemins-Faisceau,Unknown region
458,Liege-Jonfosse,Wallonie
459,Liege-Palais,Wallonie
460,Liege-Saint-Lambert,Wallonie
461,Lier,Vlaanderen
462,Lierde,Vlaanderen
463,Liers,Unknown region
464,Liers-Faisceau,Unknown region
465,Ligny,Wallonie
466,Lille Flandres,Unknown region
467,Lille-Europe,Unknown region
468,Lillois,Wallonie
469,Limal,Wallonie
470,Linkebeek,Vlaanderen
471,Lissewege,Vlaanderen
472,Lobbes,Wallonie
473,Lobbes-Garage,Unknown region
474,Lodelinsart,Wallonie
475,Lokeren,Vlaanderen
476,Lokeren-Oost,Vlaanderen
477,Lommel,Vlaanderen
478,Londerzeel,Vlaanderen
479,London-St-Pancras Intl,Unknown region
480,Lonzee,Wallonie
481,Lot,Unknown region
482,Louvain-La-Neuve,Wallonie
483,Louvain-La-Neuve-Universite,Wallonie
484,Luchtbal-Wijkbundel,Vlaanderen
485,Lustin,Wallonie
486,Luttre,Wallonie
487,Luxembourg,Unknown region
